S.No,Age_group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Availability of charging stations, Lack of information",Fewer jobs,Public transportation,No,Nope,No idea
2,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Cost of EVs,Fewer jobs,Battery manufacturing and recycling,Maybe,Takes a long time to charge ,As per the need changes need to be made 
3,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Lack of information",Unsure,Oil and gas,No,No,Not sure
4,55 - 64,Self-employed,Bike/Walk,Neutral,"Availability of charging stations, Environmental impact",Unsure,Oil and gas,Maybe,No ,Awareness 
5,55 - 64,Employed full-time,Bike/Walk,Very likely,Availability of charging stations,Unsure,"Automotive manufacturing, ",No,No,Time will tell
6,35 - 44,Employed full-time,Internal Combustion (IC) vehicle,Somewhat likely,Cost of EVs,Fewer jobs,"Automotive manufacturing, Battery manufacturing and recycling",Yes,No,There will be no negative impact 
7,55 - 64,Retired,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations",No impact,Automotive manufacturing,No,If price become affordable and numbers of charging station  increases,It depends
8,65 and above,Retired,Internal Combustion (IC) vehicle,Very unlikely,"Cost of EVs, Availability of charging stations, Range per charge",Unsure,"Automotive manufacturing, Oil and gas, Public transportation",Maybe,No,Affordability. 
9,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Cost of EVs, Availability of charging stations, Range per charge",No impact,Oil and gas,Yes,Charging stations will be a key for transitioning ,Improving skills in the field of EV’s of the current workforce. 
10,35 - 44,Self-employed,Electric Vehicle (EV),Very likely,"Cost of EVs, Range per charge, Environmental impact",Create more jobs,"Automotive manufacturing, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Yes,We need more and more charging stations and there should be thought involved on how to reduce the charging time while traveling long distance in EV Vehicle ,There won't be negative impact and newer jobs will be created
11,65 and above,Retired,Internal Combustion (IC) vehicle,Somewhat likely,Environmental impact,Fewer jobs,Oil and gas,No,Charging stations ,Skill the labours
12,18 - 24,Employed part-time,Public transportation,Very unlikely,"Cost of EVs, Availability of charging stations",Unsure,Oil and gas,Yes,We will need more stations for charging,Skill the labourers
13,45 - 54,Employed full-time,Internal Combustion (IC) vehicle,Somewhat unlikely,Cost of EVs,No impact,Oil and gas,No,Cost is the major and battery life ,Awareness about the environment 
14,Under 18,Student,School bus,Neutral,Environmental impact,Unsure,"Oil and gas, Battery manufacturing and recycling",Maybe,Safety of vehicles as there are many cases where cars are on fire.,Create awareness
15,45 - 54,Self-employed,Car,Neutral,No concerns,Unsure,Oil and gas,No,No comment ,No comment 
16,35 - 44,Employed full-time,Bike/Walk,Very unlikely,Cost of EVs,Fewer jobs,Public transportation,Maybe,Cost,Educate people
17,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations, Environmental impact",Create more jobs,"Automotive manufacturing, Public transportation",Maybe,No,To make more awareness among the new entrants in the employment arena
18,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Availability of charging stations,Create more jobs,Oil and gas,Yes,Battery should be of proper standards...else it gets discharged suddenly and one gets stucked up.,Proper steps should be taken.
19,25 - 34,Employed full-time,Electric Vehicle (EV),Very likely,"Cost of EVs, Availability of charging stations, Lack of information",Unsure,"Renewable energy (e.g., wind, solar)",Maybe,No,Nothing 
20,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,Availability of charging stations,No impact,"Oil and gas, Public transportation",Maybe,It’s ones choice,Both the types of vehicles need to be promoted equally till the facilities required for EV is easily available without the malfunction of the product 
21,45 - 54,Self-employed,Electric Vehicle (EV),Very likely,No concerns,No impact,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Maybe,No,More information needed
22,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations",No impact,"Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Yes,Have heard that there is a blast if it’s overcharged. ,Can’t think of any 
23,45 - 54,Self-employed,Public transportation,Somewhat unlikely,"Cost of EVs, Availability of charging stations",Fewer jobs,Oil and gas,No,Charging points to be increased. Government taxes on EV Vehicles to be reduced,No
24,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very unlikely,"Cost of EVs, Range per charge",No impact,"Automotive manufacturing, Battery manufacturing and recycling",Maybe,Long tearm savings,No
25,65 and above,Self-employed,Internal Combustion (IC) vehicle,Very likely,Availability of charging stations,Create more jobs,Oil and gas,Yes,No,Fire or blast in battery 
26,45 - 54,Employed full-time,Public transportation,Somewhat likely,"Cost of EVs, Availability of charging stations, Lack of information",Unsure,Public transportation,Yes,None,Plan 
27,45 - 54,Self-employed,Bike/Walk,Very unlikely,"Cost of EVs, Lack of information, There no any benefits to environment as such",No impact,"Renewable energy (e.g., wind, solar)",No,No any idea,If ev vehicle helps to environment I will be happy
28,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Availability of charging stations, Range per charge, Parking space issues",Fewer jobs,Oil and gas,Yes,More time taken to charge vehicle is also a concern,Training to employees currently working at IC manufacturing & petrol stations
29,45 - 54,Self-employed,Car ,Very unlikely,"Lack of information, No concerns",Unsure,"Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",No,No ,No 
30,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very likely,No concerns,Unsure,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling, Public transportation",No,No,No answer 
31,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Cost of EVs, Availability of charging stations, Range per charge",Unsure,"Oil and gas, Hu",No,It should be cost effective and battery capacity to run should be increased ,No comments 
32,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Range per charge, Environmental impact",Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Yes,"The road conditions to ge compatible with the EV vehicles all over..
The charging stations availability and charging speed to be better","Skill development for the conventional manufacturing industry labour for transition to EV
Promotion to EV battery manufacturing units"
33,45 - 54,Employed full-time,Public transportation,Neutral,Environmental impact,Unsure,"Automotive manufacturing, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Maybe,No,Not sure
34,45 - 54,Retired,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Range per charge",Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Yes,None,"Divert available workforce into newer avenues with training, retraining and even diversification into other industries on a concerted basis. "
35,45 - 54,Self-employed,Bike/Walk,Neutral,Availability of charging stations,Create more jobs,Battery manufacturing and recycling,No,No,No
36,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Range per charge, Environmental impact",Unsure,"Oil and gas, Public transportation",Maybe,Im looking forward for hydrogen operating cars,Not a right person to comment 
37,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Neutral,Availability of charging stations,Unsure,Oil and gas,No,No,No idea 
